World,Non-OECD,OECD,SaudiArabia,United States,OPEC,Non-OPEC
73713.309,56673.095,17040.214,9400,5047.742,42635.109,31078.2
73710.713,56848.457,16862.256,9500,5031.929,42593.713,31117
73577.051,56852.101,16724.95,9350,5027.161,42600.051,30977
73642.262,56955.079,16687.183,9350,5081.667,42662.262,30980
73185.435,56604.56,16580.875,9200,5150.548,42527.435,30658
73182.563,56948.416,16234.147,9100,5162.8,42206.563,30976
74219.832,57519.691,16700.141,9300,5094.161,42903.832,31316
73938.321,57611.08,16327.241,9300,5039.742,42520.321,31418
73572.09,57263.286,16308.804,9000,5030.867,42495.09,31077
73907.32,57339.209,16568.111,8800,5108.161,43035.32,30872
73472.423,56837.703,16634.72,8800,5064.2,42954.423,30518
73393.865,56784.881,16608.984,8750,5186.065,42948.865,30445
73032.233,56565.107,16467.126,8750,5107.806,42762.951,30269.282
73344.329,56613.187,16731.142,8600,5117.893,43146.144,30198.185
73339.229,56707.22,16632.009,8600,5119.258,43063.16,30276.069
73546.258,56806.568,16739.69,8600,5180.233,43064.947,30481.311
73003.677,56625.98,16377.697,8600,5211.226,42696.72,30306.957
72612.428,56666.938,15945.49,8600,5075.133,42439.062,30173.366
73204.537,56829.917,16374.62,8600,5037.903,42765.707,30438.83
72584.078,56817.945,15766.133,8600,4969.677,42162.443,30421.635
73238.717,57191.84,16046.877,8800,4902.033,42188.502,31050.215
73965.493,57708.152,16257.341,8800,5021.935,42726.41,31239.083
73699.292,57586.378,16112.914,9000,5034.033,42629.976,31069.316
74309.542,58269.495,16040.047,9100,5110.548,42568.33,31741.212
74663.653,58699.712,15963.941,9200,5115.032,42793.423,31870.23
74752.704,58775.125,15977.579,9200,5148.172,42798.537,31954.167
74978.738,58957.976,16020.762,9200,5189.29,42813.613,32165.125
74407.701,58582.38,15825.321,9100,5180.1,42533.619,31874.082
74726.227,58851.37,15874.857,9400,5143.129,42541.154,32185.073
74733.633,59191.128,15542.505,9450,5137.767,42411.786,32321.847
75487.395,59510.938,15976.457,9700,5176.806,42794.966,32692.429
74393.744,59013.113,15380.631,9600,5002.968,41888.126,32505.618
73394.476,58903.105,14491.371,9400,3973.6,41176.748,32217.728
74394.145,58892.277,15501.868,9400,4737.677,42135.907,32258.238
74226.965,58253.771,15973.194,8958.791,5078.1,42665.415,31561.55
73458.713,57519.472,15939.241,8517.875,5102.677,42531.209,30927.504
72370.775,56576.432,15794.343,8113.333,5144.097,42384.103,29986.672
72783.553,56703.205,16080.348,8067.875,5239.214,42892.225,29891.328
72620.321,56685.744,15934.577,8072.418,5218.581,42773.689,29846.632
72914.734,57189.584,15725.15,8076.52,5278.133,42849.918,30064.816
72499.654,57086.095,15413.559,8081.062,5376.903,42372.823,30126.831
72637.555,57333.041,15304.514,8335.458,5269.3,42405.718,30231.837
73594.812,57713.858,15880.954,8540,5397.935,43097.407,30497.405
73051.849,57738.673,15313.176,8440,5417.581,42441.139,30610.71
73501.319,57987.016,15514.303,8340,5558.833,42933.968,30567.351
73952.272,58076.551,15875.721,8340,5524.452,43335.755,30616.517
74051.666,58063.936,15987.73,8340,5394.6,43395.755,30655.911
73751.962,57927.281,15824.681,8240,5451.742,43104.046,30647.916
73947.8469469612,58226.5739469612,15721.273,8350.4097155,5404.161,43284.4652314612,30663.3817155
74279.8629469612,58392.9399469612,15886.923,8400.4097155,5553.429,43518.8502314612,30761.0127155
74519.7669469612,58419.9839469612,16099.783,8390.4097155,5515.355,43834.5432314612,30685.2237155
74266.1699469612,58237.7089469612,16028.461,8440.4097155,5392.3,43614.1692314612,30652.0007155
74314.9989469612,58415.4489469612,15899.55,8350.4097155,5400.871,43750.8412314612,30564.1577155
73949.5949469612,58622.5369469612,15327.058,8420.4097155,5379.5,43203.7402314612,30745.8547155
74201.8129469612,58678.6279469612,15523.185,8420.4097155,5297.871,43626.9462314612,30574.8667155
74078.4919469612,58679.1019469612,15399.39,8430.4097155,5447.323,43516.1792314612,30562.3127155
74392.5619469612,58798.6239469612,15593.938,8420.4097155,5615.767,43825.7592314612,30566.8027155
74727.8059469612,58747.5279469612,15980.278,8410.4097155,5630.548,44191.9632314612,30535.8427155
75057.2059469612,58946.2929469612,16110.913,8460.4097155,5575.733,44534.5922314612,30522.6137155
75146.0299469612,59019.6859469612,16126.344,8510.4097155,5607.452,44439.0132314612,30707.0167155
75924.983660974,59962.752660974,15962.231,8917.6018407,5494.613,44405.969820274,31519.0138407
75488.702660974,59869.281660974,15619.421,9337.6018407,5403.536,44006.572820274,31482.1298407
74445.121660974,58571.765660974,15873.356,9137.6018407,5615.452,44164.007820274,30281.1138407
74294.242660974,58320.568660974,15973.674,9137.6018407,5557.7,43969.708820274,30324.5338407
73665.430660974,58339.148660974,15326.282,9137.6018407,5622.903,43212.301820274,30453.1288407
74462.103660974,59056.701660974,15405.402,9837.6018407,5587.967,43348.878820274,31113.2248407
74884.409660974,59361.513660974,15522.896,10037.6018407,5440.258,43490.999820274,31393.4098407
75310.722660974,59548.546660974,15762.176,10137.6018407,5664.581,43827.405820274,31483.3168407
74647.105660974,59116.501660974,15530.604,9937.6018407,5614.433,43111.719820274,31535.3858407
75175.765660974,58942.516660974,16233.249,9737.6018407,5901.065,43950.563820274,31225.2018407
