Date,Close,Symbol,PositionRisk,Position,PositionPrevious,BufferLow,BufferUp,RequiredTrade,PositionDynamic,PositionRaw,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,MinPosition,TickSize,Decimals,Spread,Commission,CostPerTrade,InstCapital,Exposure
2023-06-24,2753.4,rm,277.5538016494052,0.5,0.5,0.38691192910493255,0.517016834519722,0,0.4799999999999997,0.4519643818123273,0.6505245270739474,13.895383279251847,-9.795545935654712,15.463262456004182,17.85826661203807,-0.0268039552448327,0.2209402452891456,1.09589,0.01111111111111111,Future,1,0.3,0.1,1,3,0,1.5,361.1111111111111,817.2144251911262
2023-06-24,24.836,sb,0,0,0,1584.3814081778416,2893.4123994407964,0,1700.000000000001,2238.896903809319,6545.154956314775,6.841387006885844,-3.954797062636139,8.861341635713947,7.015489738231211,-0.02567810705654283,0.24344801145071648,1.09589,0.01111111111111111,Future,0.01,5000,1,3,0.04,0,0.02,361.1111111111111,741.6596031309425
2023-06-24,931.47,sek,18.78906574978502,-4,-4,-40.41905548589607,-21.199839590861853,0,-4,-30.80944753837896,96.09607947517104,-6.4122173779918645,-17.00231238488612,-0,-11.779965348758129,0.00465940442987644,0.05899311174934648,11.69836,0.01388888888888888,Cash,1,0.01,0.01,2,0.6,0,0.3,451.38888888888886,3825.776226271784
2023-06-24,1059.86,sgd,288.3308979535724,25,25,8.6482328663697,16.47585196811391,0,24.999999999999993,12.562042417241804,39.13809550872106,6.419342716582942,12.070539937876807,0,13.03072180698815,-0.00197943339744011,0.01603157443817565,1.47324,0.01388888888888888,Cash,1,0.01,0.01,2,0.3,0,0.15,451.38888888888886,14078.120980245274
2023-06-24,22.433,si,186.96978954559432,-40,-40,-78.42115863785544,-47.51895891981589,0,-40,-62.970058778835664,154.51099859019772,-8.150883672151807,-2.9716665763330883,-10.584376751509486,-6.403821596909386,0.00798885367711399,0.2283447629219469,1.09589,0.02222222222222222,Future,1,30,1,3,25,0,12.5,722.2222222222222,1581.4293548503524
2023-06-24,663.3,sw,0,0,0,-0.3197818561412545,0.24656662873997395,0,-0.07321522740128054,-0.03660761370064027,2.8317424244061415,-0.25855186110945405,3.7310149002111856,-2.5315810836330552,1.5853429767148874,-0.02433586968604739,0.2106900716901199,1.09589,0.01111111111111111,Future,1,2,1,2,0.7,0,0.35,361.1111111111111,856.9723011016588
2023-06-24,1171.1,tp,248.42179545620976,-3.3,-3.3,-3.6887227461728984,-2.729332959557556,0,-3.299999999999998,-3.209027852865227,4.796948933076712,-13.3794538888576,7.164639726669862,-18.598109487323832,-11.992157794656674,-0.00737602615893528,0.09257795805393734,1.44021,0.01111111111111111,Index,1,0.5,0.1,2,0.8,0,0.4,361.1111111111111,1950.3082521042547
2023-06-24,1055.445,usd,0,0,0,0.2639990035050078,1.283505863148426,0,0,0.773752433326717,5.0975342982170915,3.035790984662306,3.2798977528829742,5.884056109835673,-0.585567113859571,0.00383511398697145,0.04597185936888599,1.09589,0.00694444444444444,Cash,1,0.01,0.01,2,0.25,0,0.125,225.69444444444443,2454.7021541312256
2023-06-24,635.84,zc,0,0,0,75.49428291703306,104.77364398434467,0,62.000000000000036,90.13396345068888,146.3968053365581,12.31365168706734,10.01681338462857,20,3.279925871511206,-0.06016565153040432,0.30366891292438797,1.09589,0.0079365079365079309,Future,0.01,150,1,2,0.9,0,0.45,257.9365079365079,424.700219480044
2023-06-24,57.167,zl,0,0,0,299.8198048169669,567.6327780204665,0,310.0000000000001,433.7262914187167,1339.0648660174982,6.478047515482331,13.856382512576364,7.627364933491705,3.1968169936971047,0.02833332153284562,0.3692604227749533,1.09589,0.0079365079365079309,Future,0.01,2000,1,3,0.09,0,0.045,257.9365079365079,349.26097142789115
2023-06-24,411.07,zm,0,0,0,-0.1490339182599862,0.26721152646144625,0,0.09800000000000016,0.05908880410073003,2.0812272236071623,0.5678265537803018,-19.13807884155727,9.327298277287458,-5.455036751769249,-0.03989228035254211,0.3304033931780975,1.09589,0.0079365079365079309,Future,1,1,1,2,0.7,0,0.35,257.9365079365079,390.3357430071431
2023-06-24,112.392,zn,455.84514923195457,-70,-70,-100.4779535862401,-72.75167655952625,0,-70,-86.61481507288318,138.63138513356924,-12.495700737525071,-17.214750530498428,-12.990731112286994,-10.697150320829326,0.00311003436454271,0.06349665718350654,1.09589,0.02777777777777777,Future,1,0.01,0.01,3,0.03,0,0.015,902.7777777777776,7108.860669379278
2023-06-24,402.21,zo,0,0,0,44.10621801453746,92.20660734408445,0,36,68.15641267931095,240.5019466477348,5.667847069790269,1.1905845985268184,2.3988385781851203,10.873423302112563,-0.02319913346285496,0.2922189122580903,1.09589,0.0079365079365079309,Future,0.01,200,1,2,0.9,0,0.45,257.9365079365079,441.3412293258694
2023-06-24,18.1,zr,0,0,0,32.22926924808725,44.40016218236666,0,43.00000000000004,38.31471571522695,60.85446467139704,12.592244766959794,8.271082751208024,20,4.41284122959748,-0.00237287311624578,0.25663078869493544,1.09589,0.0079365079365079309,Future,1,50,1,3,0.04,0,0.02,257.9365079365079,502.5439645184674
2023-06-24,1451.19,zs,170.24055818101309,63,63,49.21503735578551,68.30567025035312,0,63.00000000000007,58.760353803069314,95.45316447283804,12.311871298890262,2.4678411147595685,20,5.162717968535761,-0.0178051110496078,0.20406342523819304,1.09589,0.0079365079365079309,Future,0.01,50,1,2,1.5,0,0.75,257.9365079365079,632.0008292407899
2023-06-24,725.73,zw,0,0,0,-36.78181389277345,-12.740055519073405,0,0,-24.760934705923425,120.2087918685002,-4.1196545312609265,-12.385306652954135,-10.800907247521582,6.298324394488194,-0.01224337397339692,0.32401750332621826,1.09589,0.0079365079365079309,Future,0.01,80,1,2,0.8,0,0.4,257.9365079365079,398.0286640206894
