Date,SPGSCI
1988-04-14,175.880005
1988-04-15,176.119995
1988-04-18,177.070007
1988-04-19,175.570007
1988-04-20,174.919998
1988-04-21,176.330002
1988-04-22,176.210007
1988-04-25,175.869995
1988-04-26,177.029999
1988-04-27,176.779999
1988-04-28,174.860001
1988-04-29,175.009995
1988-05-02,170.699997
1988-05-03,172.520004
1988-05-04,172.119995
1988-05-05,173.580002
1988-05-06,174.990005
1988-05-09,174.970001
1988-05-10,174.679993
1988-05-11,175.199997
1988-05-12,174.690002
1988-05-13,175.570007
1988-05-16,177.199997
1988-05-17,177.110001
1988-05-18,176.710007
1988-05-19,177.220001
1988-05-20,177.720001
1988-05-23,175.339996
1988-05-24,176.009995
1988-05-25,174.789993
1988-05-26,175.690002
1988-05-27,175.729996
1988-05-31,177.990005
1988-06-01,178.300003
1988-06-02,179.139999
1988-06-03,179.009995
1988-06-06,179.520004
1988-06-07,179.809998
1988-06-08,177.550003
1988-06-09,176.160004
1988-06-10,174.529999
1988-06-13,172.740005
1988-06-14,174.440002
1988-06-15,173.589996
1988-06-16,174.910004
1988-06-17,174.949997
1988-06-20,174.979996
1988-06-21,175.75
1988-06-22,176.100006
1988-06-23,174.720001
1988-06-24,173.179993
1988-06-27,175.630005
1988-06-28,173.699997
1988-06-29,170.869995
1988-06-30,171.270004
1988-07-01,171.570007
1988-07-05,172.139999
1988-07-06,174.339996
1988-07-07,175.789993
1988-07-08,173.759995
1988-07-11,168.850006
1988-07-12,169.589996
1988-07-13,168.050003
1988-07-14,170.020004
1988-07-15,170.279999
1988-07-18,172.380005
1988-07-19,171.190002
1988-07-20,171.539993
1988-07-21,174.570007
1988-07-22,175.050003
1988-07-25,171.839996
1988-07-26,167.289993
1988-07-27,168.669998
1988-07-28,166.919998
1988-07-29,169.449997
1988-08-01,170.089996
1988-08-02,167.899994
1988-08-03,165.440002
1988-08-04,165.899994
1988-08-05,167.630005
1988-08-08,169.110001
1988-08-09,168.419998
1988-08-10,169.899994
1988-08-11,170.009995
1988-08-12,167.830002
1988-08-15,169.820007
